time,symbol,order_id,side,qty,price,order_type,type
2018-01-29T01:41:00,XBTUSD,bitme_0,buy,2254,11274.00,limit,complete
2018-01-29T04:42:00,XBTUSD,bitme_2,sell,-2254,11414.06,market,complete
2018-01-29T04:44:00,XBTUSD,bitme_3,sell,-2282,11412.00,limit,complete
2018-01-29T06:12:00,XBTUSD,bitme_4,buy,2282,11294.50,limit,complete
2018-01-29T06:13:00,XBTUSD,bitme_5,buy,2251,11257.50,limit,complete
2018-01-29T06:17:00,XBTUSD,bitme_7,sell,-2251,11156.06,market,complete
2018-01-29T06:18:00,XBTUSD,bitme_8,buy,2230,11150.50,limit,complete
2018-01-29T08:04:00,XBTUSD,bitme_10,sell,-2230,11064.06,market,complete
2018-01-29T08:05:00,XBTUSD,bitme_11,buy,2210,11050.50,limit,complete
2018-01-29T08:33:00,XBTUSD,bitme_12,sell,-2210,11206.00,limit,complete
2018-01-29T08:34:00,XBTUSD,bitme_13,sell,-2244,11224.00,limit,complete
2018-01-29T11:27:00,XBTUSD,bitme_14,buy,2244,11104.40,limit,complete
2018-01-29T11:28:00,XBTUSD,bitme_15,buy,2216,11082.00,limit,complete
2018-01-29T11:39:00,XBTUSD,bitme_17,sell,-2216,10986.00,market,complete
2018-01-29T11:40:00,XBTUSD,bitme_18,buy,2194,10970.00,limit,complete
2018-01-29T11:53:00,XBTUSD,bitme_20,sell,-2194,10884.12,market,complete
2018-01-29T11:54:00,XBTUSD,bitme_21,buy,2178,10891.50,limit,complete
2018-01-29T14:34:00,XBTUSD,bitme_22,sell,-2178,11203.20,limit,complete
2018-01-29T14:35:00,XBTUSD,bitme_23,sell,-2244,11223.00,limit,complete
2018-01-29T15:41:00,XBTUSD,bitme_24,buy,2244,11060.10,limit,complete
2018-01-29T15:42:00,XBTUSD,bitme_25,buy,2211,11057.00,limit,complete
2018-01-29T15:47:00,XBTUSD,bitme_26,sell,-2211,11166.20,limit,complete
2018-01-29T15:48:00,XBTUSD,bitme_27,sell,-2235,11175.00,limit,complete
2018-01-29T18:20:00,XBTUSD,bitme_28,buy,2235,11098.30,limit,complete
2018-01-29T18:21:00,XBTUSD,bitme_29,buy,2216,11080.00,limit,complete
2018-01-29T18:43:00,XBTUSD,bitme_30,sell,-2216,11204.70,limit,complete
2018-01-29T18:44:00,XBTUSD,bitme_31,sell,-2242,11212.50,limit,complete
2018-01-29T19:37:00,XBTUSD,bitme_32,buy,2242,11143.50,limit,complete
2018-01-29T19:38:00,XBTUSD,bitme_33,buy,2228,11143.00,limit,complete
2018-01-29T21:36:00,XBTUSD,bitme_34,sell,-1114,11199.70,limit,partial
2018-01-29T21:42:00,XBTUSD,bitme_34,sell,-1114,11199.70,limit,complete
2018-01-29T21:43:00,XBTUSD,bitme_35,sell,-2240,11200.00,limit,complete
2018-01-29T22:36:00,XBTUSD,bitme_36,buy,2240,11134.40,limit,complete
2018-01-29T22:37:00,XBTUSD,bitme_37,buy,2224,11120.00,limit,complete
2018-01-29T22:45:00,XBTUSD,bitme_39,sell,-2224,11007.38,market,complete
2018-01-29T22:46:00,XBTUSD,bitme_40,buy,2197,10986.00,limit,complete
2018-01-29T23:38:00,XBTUSD,bitme_41,sell,-1099,11188.90,limit,partial
2018-01-29T23:40:00,XBTUSD,bitme_41,sell,-1098,11188.90,limit,complete
2018-01-29T23:41:00,XBTUSD,bitme_42,sell,-2241,11207.00,limit,complete
2018-01-30T00:00:00,XBTUSD,bitme_44,buy,2241,11130.06,market,complete
